DEPARTAMENTO,ÁREA,SEXO,Total personas de 5 y más años que usaron Internet,,,,Dispositivos para acceder a Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALDAS,TOTAL,TOTAL,763,19,"1,2%",,742,21,"1,5%","97,3",,254,16,"3,2%","33,3",,"132,2","9,9","0,0","17,3",,32,6,"9,8%","4,3",,14,4,"14,9%","1,8",,54,10,"9,6%","7,0",,87,15,"8,8%","11,4",,0,0,"80,5%","0,0"
,,HOMBRE,359,10,"1,4%",,349,11,"1,7%","97,4",,142,10,"3,7%","39,6",,"68,5","6,7","0,1","19,1",,20,5,"12,0%","5,5",,8,3,"19,5%","2,1",,25,6,"12,1%","7,0",,46,8,"9,3%","12,7",,0,0,.,-
,,MUJER,404,11,"1,4%",,392,12,"1,6%","97,2",,112,9,"4,1%","27,7",,"63,7","6,8","0,1","15,8",,13,4,"14,8%","3,2",,6,2,"18,5%","1,6",,28,6,"10,8%","7,0",,41,8,"10,2%","10,3",,0,0,"80,5%","0,0"
,CABECERA,TOTAL,631,17,"1,4%",,617,20,"1,7%","97,7",,224,16,"3,6%","35,5",,"107,5","9,0","0,0","17,0",,30,6,"10,5%","4,7",,12,4,"17,7%","1,8",,46,10,"10,9%","7,2",,77,15,"9,7%","12,1",,0,0,.,-
,,HOMBRE,293,9,"1,5%",,286,10,"1,9%","97,7",,121,10,"4,2%","41,2",,"57,0","6,3","0,1","19,5",,18,5,"12,7%","6,2",,6,3,"23,3%","2,1",,21,6,"13,8%","7,3",,40,8,"10,3%","13,6",,0,0,.,-
,,MUJER,339,11,"1,6%",,331,12,"1,8%","97,8",,104,9,"4,3%","30,7",,"50,5","6,3","0,1","14,9",,12,4,"15,9%","3,4",,5,2,"21,7%","1,6",,24,6,"12,2%","7,1",,37,8,"11,3%","10,8",,0,0,.,-
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,131,8,"3,1%",,124,9,"3,7%","94,9",,30,5,"8,2%","22,6",,"24,7","4,1","0,1","18,8",,3,1,"23,2%","2,0",,3,1,"25,4%","1,9",,8,3,"19,7%","6,0",,11,4,"20,7%","8,1",,0,0,"80,5%","0,0"
,,HOMBRE,66,5,"3,8%",,63,6,"4,5%","96,0",,22,4,"9,0%","32,8",,"11,5","2,4","0,1","17,4",,1,1,"32,3%","2,1",,2,1,"33,0%","2,3",,4,2,"22,1%","5,6",,6,2,"21,7%","8,8",,0,0,.,-
,,MUJER,65,4,"3,2%",,61,5,"3,8%","93,9",,8,2,"12,5%","12,2",,"13,2","2,7","0,1","20,3",,1,1,"32,4%","1,8",,1,1,"27,8%","1,6",,4,2,"20,7%","6,4",,5,2,"23,5%","7,3",,0,0,"80,5%","0,1"
CAQUETÁ,TOTAL,TOTAL,279,10,"1,8%",,247,11,"2,2%","88,7",,73,6,"4,4%","26,3",,"40,0","4,1","0,1","14,3",,4,2,"32,7%","1,3",,2,1,"24,5%","0,7",,16,3,"10,1%","5,8",,31,6,"9,6%","10,9",,0,0,"100,0%","0,0"
,,HOMBRE,139,5,"2,0%",,124,6,"2,5%","88,7",,49,5,"4,7%","35,1",,"20,5","3,1","0,1","14,7",,2,2,"39,2%","1,6",,1,1,"36,2%","0,5",,8,2,"12,7%","6,0",,18,3,"9,7%","12,7",,0,0,"100,0%","0,1"
,,MUJER,140,6,"2,1%",,124,6,"2,6%","88,6",,24,3,"6,2%","17,5",,"19,5","2,8","0,1","14,0",,2,1,"31,6%","1,1",,1,1,"33,0%","0,8",,8,2,"11,8%","5,6",,13,3,"11,9%","9,2",,0,0,.,-
,CABECERA,TOTAL,193,8,"2,2%",,164,9,"2,9%","85,0",,56,6,"5,2%","29,0",,"31,4","3,7","0,1","16,3",,2,2,"35,4%","1,3",,1,1,"29,5%","0,7",,13,3,"11,8%","6,8",,24,5,"10,6%","12,5",,0,0,.,-
,,HOMBRE,93,5,"2,5%",,79,5,"3,4%","84,4",,35,4,"5,5%","37,2",,"16,2","2,9","0,1","17,4",,1,1,"39,3%","1,3",,1,0,"43,7%","0,6",,6,2,"14,8%","6,9",,13,3,"10,7%","14,2",,0,0,.,-
,,MUJER,100,5,"2,5%",,85,6,"3,3%","85,6",,21,3,"6,8%","21,4",,"15,2","2,3","0,1","15,3",,1,1,"38,2%","1,2",,1,1,"39,8%","0,9",,7,2,"13,6%","6,6",,11,3,"13,2%","10,9",,0,0,.,-
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,86,5,"2,9%",,83,5,"3,2%","96,8",,17,3,"9,3%","20,3",,"8,6","1,9","0,1","10,0",,1,2,"67,3%","1,5",,0,0,"45,0%","0,6",,3,1,"24,5%","3,5",,6,3,"21,7%","7,5",,0,0,"100,0%","0,1"
,,HOMBRE,46,3,"3,1%",,45,3,"3,3%","97,4",,14,3,"10,3%","30,9",,"4,3","1,3","0,2","9,4",,1,1,"75,4%","2,0",,0,0,"65,8%","0,4",,2,1,"28,7%","4,0",,4,2,"21,6%","9,6",,0,0,"100,0%","0,2"
,,MUJER,40,3,"3,6%",,38,3,"3,9%","96,1",,3,1,"14,9%","7,9",,"4,3","1,4","0,2","10,8",,0,0,"50,4%","0,9",,0,0,"57,6%","0,8",,1,1,"22,7%","2,9",,2,1,"26,6%","5,1",,0,0,.,-
CASANARE,TOTAL,TOTAL,310,8,"1,3%",,281,9,"1,6%","90,4",,107,6,"2,9%","34,6",,"54,7","4,9","0,0","17,6",,11,3,"12,5%","3,5",,6,2,"13,2%","1,9",,53,6,"6,3%","17,0",,65,7,"5,4%","21,1",,1,1,"37,3%","0,5"
,,HOMBRE,153,5,"1,6%",,138,5,"1,9%","89,9",,63,4,"3,4%","41,3",,"28,2","3,1","0,1","18,4",,5,1,"13,8%","3,2",,3,1,"15,5%","2,2",,27,4,"7,1%","17,5",,34,4,"5,8%","22,5",,1,0,"39,5%","0,4"
,,MUJER,157,4,"1,4%",,143,5,"1,7%","90,9",,44,4,"4,4%","28,0",,"26,5","3,2","0,1","16,9",,6,2,"14,7%","3,9",,3,1,"17,4%","1,7",,26,4,"7,4%","16,5",,31,4,"6,5%","19,7",,1,1,"39,5%","0,6"
,CABECERA,TOTAL,248,7,"1,4%",,230,8,"1,8%","92,7",,91,6,"3,3%","36,5",,"43,3","4,8","0,1","17,5",,8,3,"17,2%","3,0",,4,1,"19,8%","1,4",,38,7,"9,5%","15,2",,48,7,"7,4%","19,6",,1,1,"46,7%","0,5"
,,HOMBRE,120,4,"1,7%",,111,5,"2,2%","92,1",,51,4,"3,9%","42,4",,"23,2","3,0","0,1","19,3",,3,1,"18,7%","2,7",,2,1,"21,7%","1,7",,18,4,"10,7%","15,2",,24,4,"8,1%","20,2",,0,0,"56,9%","0,3"
,,MUJER,127,4,"1,6%",,119,4,"1,9%","93,2",,39,4,"4,9%","31,0",,"20,0","3,0","0,1","15,7",,4,2,"19,8%","3,4",,2,1,"26,7%","1,2",,19,4,"10,4%","15,2",,24,4,"8,4%","19,0",,1,1,"44,0%","0,6"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,63,4,"3,5%",,51,5,"4,9%","81,5",,17,2,"6,3%","26,9",,"11,4","1,7","0,1","18,2",,3,1,"19,3%","5,5",,2,1,"17,4%","3,9",,15,3,"9,5%","24,1",,17,3,"9,3%","27,0",,0,0,"41,6%","0,5"
,,HOMBRE,33,3,"4,2%",,27,3,"5,3%","81,9",,12,2,"7,3%","37,4",,"5,0","0,9","0,1","15,2",,2,1,"22,2%","5,0",,1,1,"23,1%","4,1",,8,2,"11,0%","25,7",,10,2,"9,6%","30,9",,0,0,"46,2%","0,7"
,,MUJER,30,2,"3,5%",,24,2,"5,1%","81,2",,5,1,"9,5%","15,3",,"6,4","1,1","0,1","21,6",,2,1,"21,7%","6,1",,1,0,"20,8%","3,8",,7,1,"9,7%","22,4",,7,1,"10,4%","22,6",,0,0,"72,0%","0,4"
CAUCA,TOTAL,TOTAL,941,27,"1,5%",,784,31,"2,0%","83,3",,243,18,"3,7%","25,8",,"164,8","13,6","0,0","17,5",,38,8,"10,9%","4,0",,28,6,"11,0%","2,9",,123,14,"5,9%","13,0",,182,17,"4,7%","19,4",,1,1,"54,8%","0,1"
,,HOMBRE,458,15,"1,7%",,377,17,"2,3%","82,4",,148,12,"4,0%","32,3",,"82,4","8,6","0,1","18,0",,21,6,"13,4%","4,6",,13,4,"15,0%","2,9",,62,8,"6,9%","13,5",,93,10,"5,3%","20,3",,0,0,"100,0%","0,1"
,,MUJER,483,16,"1,7%",,406,17,"2,2%","84,1",,95,9,"5,0%","19,6",,"82,4","8,5","0,1","17,1",,17,4,"12,0%","3,5",,15,4,"13,4%","3,0",,61,9,"7,2%","12,6",,89,10,"5,7%","18,5",,1,1,"50,7%","0,1"
,CABECERA,TOTAL,412,12,"1,5%",,364,19,"2,6%","88,4",,122,11,"4,8%","29,7",,"69,7","8,2","0,1","16,9",,8,4,"22,1%","2,0",,9,4,"19,2%","2,3",,60,10,"8,8%","14,6",,112,15,"7,0%","27,2",,0,0,"98,1%","0,0"
,,HOMBRE,193,7,"1,8%",,169,10,"3,1%","87,6",,66,7,"5,2%","34,3",,"35,2","4,8","0,1","18,2",,4,2,"27,6%","2,3",,5,2,"21,3%","2,7",,29,6,"10,1%","15,1",,55,8,"7,7%","28,6",,0,0,.,-
,,MUJER,218,7,"1,7%",,194,10,"2,7%","89,0",,56,7,"6,1%","25,6",,"34,5","5,3","0,1","15,8",,4,2,"23,0%","1,9",,4,2,"25,4%","1,9",,31,6,"10,1%","14,2",,57,9,"7,8%","26,0",,0,0,"98,1%","0,1"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,529,26,"2,5%",,420,30,"3,6%","79,4",,120,15,"6,4%","22,8",,"95,1","11,2","0,1","18,0",,29,7,"13,0%","5,5",,18,5,"14,5%","3,5",,62,12,"9,5%","11,8",,70,16,"11,7%","13,3",,1,1,"61,4%","0,1"
,,HOMBRE,264,14,"2,7%",,208,16,"3,8%","78,6",,81,10,"6,4%","30,8",,"47,2","7,2","0,1","17,9",,17,5,"15,9%","6,3",,8,3,"22,1%","3,0",,33,7,"10,9%","12,4",,38,9,"11,9%","14,2",,0,0,"100,0%","0,1"
,,MUJER,265,15,"2,9%",,212,17,"4,0%","80,1",,39,7,"9,3%","14,8",,"47,9","6,8","0,1","18,1",,13,4,"14,3%","4,8",,10,3,"16,1%","3,9",,30,7,"11,7%","11,3",,33,9,"14,2%","12,3",,1,1,"57,9%","0,2"
CESAR,TOTAL,TOTAL,927,23,"1,3%",,868,26,"1,6%","93,7",,229,20,"4,4%","24,7",,"166,9","16,1","0,0","18,0",,25,7,"13,2%","2,7",,36,10,"14,2%","3,8",,161,19,"5,9%","17,3",,142,16,"5,8%","15,3",,1,1,"38,2%","0,1"
,,HOMBRE,442,14,"1,6%",,412,15,"1,9%","93,2",,135,12,"4,7%","30,5",,"82,9","10,1","0,1","18,7",,11,4,"16,1%","2,6",,19,6,"15,4%","4,2",,80,12,"7,7%","18,0",,77,11,"7,2%","17,3",,1,1,"46,4%","0,2"
,,MUJER,484,14,"1,4%",,456,15,"1,7%","94,1",,95,11,"5,7%","19,5",,"84,0","10,1","0,1","17,3",,14,4,"15,8%","2,9",,17,5,"16,3%","3,5",,81,9,"5,9%","16,7",,65,8,"6,1%","13,5",,0,0,"57,6%","0,1"
,CABECERA,TOTAL,743,22,"1,5%",,708,25,"1,8%","95,3",,205,20,"4,9%","27,5",,"125,3","15,4","0,1","16,9",,18,6,"16,2%","2,4",,29,10,"17,4%","3,9",,125,18,"7,4%","16,8",,98,16,"8,2%","13,2",,1,1,"52,1%","0,1"
,,HOMBRE,349,13,"1,9%",,333,14,"2,2%","95,3",,117,12,"5,3%","33,4",,"59,9","9,3","0,1","17,1",,8,3,"20,8%","2,3",,15,6,"18,5%","4,4",,62,11,"9,4%","17,8",,54,10,"9,9%","15,4",,1,1,"59,9%","0,2"
,,MUJER,394,13,"1,7%",,375,15,"2,0%","95,2",,88,10,"6,0%","22,3",,"65,4","9,8","0,1","16,6",,10,4,"19,3%","2,5",,14,5,"19,8%","3,4",,63,9,"7,5%","15,9",,45,8,"8,7%","11,3",,0,0,"100,0%","0,0"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,183,10,"2,7%",,160,11,"3,4%","87,2",,25,4,"7,6%","13,5",,"41,6","5,4","0,1","22,7",,7,3,"23,1%","4,0",,7,2,"17,7%","3,6",,36,7,"9,4%","19,6",,44,7,"7,9%","23,8",,0,0,"49,1%","0,2"
,,HOMBRE,93,6,"3,4%",,79,6,"4,1%","85,3",,18,3,"8,1%","19,3",,"23,0","4,2","0,1","24,8",,3,1,"21,9%","3,6",,3,1,"18,1%","3,5",,18,4,"12,8%","18,9",,23,4,"8,7%","24,8",,0,0,"57,4%","0,3"
,,MUJER,90,5,"2,7%",,81,5,"3,3%","89,2",,7,2,"15,4%","7,6",,"18,6","3,0","0,1","20,5",,4,2,"27,5%","4,5",,3,2,"25,8%","3,6",,18,3,"9,2%","20,2",,21,3,"8,6%","22,7",,0,0,"60,1%","0,2"
CHOCÓ,TOTAL,TOTAL,218,14,"3,3%",,182,14,"4,0%","83,9",,43,5,"5,6%","20,0",,"35,7","4,2","0,1","16,4",,23,5,"10,3%","10,6",,20,4,"11,5%","9,1",,41,6,"7,9%","18,9",,28,5,"9,7%","13,0",,2,1,"34,4%","0,9"
,,HOMBRE,102,7,"3,5%",,86,7,"4,3%","83,6",,25,3,"6,4%","24,8",,"15,0","2,7","0,1","14,6",,11,3,"12,8%","10,8",,9,2,"13,9%","8,7",,18,4,"10,4%","17,9",,14,3,"11,0%","14,0",,1,1,"39,2%","1,0"
,,MUJER,115,8,"3,7%",,97,8,"4,2%","84,1",,18,3,"7,7%","15,7",,"20,7","2,9","0,1","18,0",,12,3,"12,0%","10,5",,11,3,"13,5%","9,4",,23,4,"8,8%","19,8",,14,3,"10,4%","12,2",,1,1,"38,0%","0,9"
,CABECERA,TOTAL,145,9,"3,0%",,125,10,"4,2%","86,4",,32,4,"6,3%","21,8",,"29,2","3,8","0,1","20,2",,16,4,"11,0%","11,3",,16,4,"13,1%","11,2",,31,6,"9,1%","21,6",,18,4,"12,4%","12,6",,1,1,"50,9%","0,6"
,,HOMBRE,68,5,"3,4%",,59,5,"4,7%","86,0",,18,2,"6,7%","26,3",,"12,5","2,5","0,1","18,2",,8,2,"14,8%","11,2",,7,2,"16,7%","10,2",,14,3,"11,7%","20,1",,10,3,"14,1%","14,0",,0,1,"66,3%","0,7"
,,MUJER,76,5,"3,3%",,66,6,"4,4%","86,8",,14,2,"8,9%","17,7",,"16,8","2,5","0,1","21,9",,9,2,"13,5%","11,3",,9,3,"14,2%","12,1",,17,4,"10,6%","22,8",,9,2,"12,9%","11,4",,0,0,"51,4%","0,5"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,73,12,"8,6%",,57,11,"9,5%","78,8",,12,3,"13,0%","16,4",,"6,5","2,0","0,2","8,9",,7,3,"23,8%","9,3",,4,2,"24,7%","4,8",,10,4,"20,7%","13,6",,10,4,"18,3%","13,9",,1,1,"53,0%","1,7"
,,HOMBRE,34,6,"8,8%",,27,5,"10,0%","78,8",,7,2,"15,8%","21,7",,"2,5","1,2","0,2","7,4",,3,2,"25,7%","9,8",,2,1,"24,2%","5,9",,5,2,"26,4%","13,4",,5,2,"20,0%","14,0",,1,1,"50,9%","1,5"
,,MUJER,39,7,"9,5%",,30,6,"10,2%","78,8",,5,1,"15,9%","11,7",,"3,9","1,5","0,2","10,2",,3,2,"25,7%","8,9",,1,1,"41,9%","3,9",,5,2,"20,0%","13,9",,5,2,"19,9%","13,8",,1,1,"57,5%","1,8"
CÓRDOBA,TOTAL,TOTAL,1.165,28,"1,2%",,1.082,31,"1,4%","92,9",,245,17,"3,6%","21,1",,"203,2","16,3","0,0","17,4",,15,7,"24,1%","1,3",,24,7,"15,0%","2,1",,117,13,"5,5%","10,1",,146,16,"5,6%","12,5",,0,1,"69,9%","0,0"
,,HOMBRE,559,17,"1,5%",,517,17,"1,7%","92,5",,149,13,"4,4%","26,6",,"107,5","11,3","0,1","19,2",,7,4,"28,9%","1,3",,12,5,"19,2%","2,2",,57,8,"7,4%","10,2",,78,9,"6,0%","14,0",,0,0,"99,1%","0,0"
,,MUJER,606,16,"1,4%",,565,18,"1,6%","93,2",,97,9,"4,9%","16,0",,"95,6","9,4","0,1","15,8",,7,4,"24,9%","1,2",,12,4,"15,2%","1,9",,61,7,"6,3%","10,0",,68,9,"6,7%","11,2",,0,0,"99,5%","0,0"
,CABECERA,TOTAL,693,21,"1,5%",,661,23,"1,7%","95,4",,184,16,"4,3%","26,5",,"105,6","12,1","0,1","15,2",,3,2,"30,1%","0,5",,15,6,"21,6%","2,1",,59,10,"8,9%","8,5",,99,14,"7,4%","14,3",,0,0,.,-
,,HOMBRE,323,12,"1,9%",,309,13,"2,1%","95,5",,103,11,"5,3%","31,8",,"55,7","8,4","0,1","17,2",,1,1,"43,5%","0,5",,8,4,"26,6%","2,4",,28,6,"11,0%","8,6",,52,8,"7,9%","16,0",,0,0,.,-
,,MUJER,370,12,"1,6%",,352,13,"1,9%","95,3",,81,9,"5,4%","21,8",,"49,8","6,8","0,1","13,5",,2,2,"40,1%","0,5",,7,3,"21,8%","1,8",,31,6,"9,6%","8,4",,48,8,"8,7%","12,9",,0,0,.,-
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,472,21,"2,2%",,421,22,"2,7%","89,2",,62,9,"7,5%","13,1",,"97,6","11,6","0,1","20,7",,11,7,"30,7%","2,4",,10,4,"20,1%","2,0",,59,9,"7,7%","12,4",,47,10,"10,4%","9,9",,0,1,"69,9%","0,1"
,,HOMBRE,236,12,"2,6%",,208,12,"3,0%","88,3",,46,8,"8,6%","19,4",,"51,8","7,6","0,1","22,0",,6,4,"34,7%","2,5",,5,2,"26,3%","2,0",,29,6,"10,7%","12,3",,26,6,"10,9%","11,2",,0,0,"99,1%","0,1"
,,MUJER,236,12,"2,5%",,213,12,"3,0%","90,0",,16,4,"12,1%","6,8",,"45,8","6,9","0,1","19,4",,5,3,"31,6%","2,2",,5,2,"21,9%","2,1",,29,5,"9,4%","12,5",,20,5,"11,9%","8,6",,0,0,"99,5%","0,1"
CUNDINAMARCA,TOTAL,TOTAL,2.816,49,"0,9%",,2.694,59,"1,1%","95,7",,1.084,48,"2,3%","38,5",,"488,7","40,0","0,0","17,4",,120,28,"11,8%","4,3",,45,16,"17,8%","1,6",,202,38,"9,7%","7,2",,723,75,"5,3%","25,7",,4,3,"43,7%","0,1"
,,HOMBRE,1.388,29,"1,1%",,1.322,33,"1,3%","95,2",,651,33,"2,6%","46,9",,"245,9","22,8","0,0","17,7",,59,15,"13,4%","4,2",,21,9,"21,1%","1,5",,97,21,"11,0%","7,0",,381,42,"5,6%","27,4",,3,3,"55,7%","0,2"
,,MUJER,1.427,30,"1,1%",,1.372,34,"1,3%","96,1",,433,28,"3,3%","30,4",,"242,8","24,0","0,1","17,0",,61,15,"12,7%","4,3",,24,9,"20,2%","1,7",,105,23,"11,0%","7,4",,343,40,"5,9%","24,0",,1,1,"64,9%","0,1"
,CABECERA,TOTAL,2.232,48,"1,1%",,2.153,55,"1,3%","96,5",,891,46,"2,6%","39,9",,"378,4","38,5","0,1","17,0",,95,27,"14,6%","4,2",,40,16,"19,7%","1,8",,156,36,"11,9%","7,0",,581,79,"7,0%","26,0",,3,3,"49,7%","0,1"
,,HOMBRE,1.085,27,"1,3%",,1.041,31,"1,5%","96,0",,525,31,"3,0%","48,4",,"188,0","21,6","0,1","17,3",,46,15,"16,7%","4,3",,19,9,"23,6%","1,7",,71,19,"14,0%","6,6",,300,44,"7,4%","27,6",,3,3,"57,0%","0,2"
,,MUJER,1.147,29,"1,3%",,1.112,33,"1,5%","97,0",,366,27,"3,8%","31,9",,"190,4","23,0","0,1","16,6",,49,15,"15,4%","4,2",,21,9,"21,8%","1,9",,84,22,"13,2%","7,3",,281,41,"7,5%","24,5",,1,1,"99,8%","0,1"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,584,15,"1,3%",,540,24,"2,2%","92,5",,193,15,"3,9%","33,0",,"110,2","11,9","0,1","18,9",,25,6,"12,3%","4,3",,5,2,"25,2%","0,8",,46,14,"15,7%","8,0",,142,24,"8,5%","24,4",,1,1,"63,4%","0,1"
,,HOMBRE,304,10,"1,8%",,281,14,"2,6%","92,5",,126,10,"3,9%","41,4",,"57,8","7,5","0,1","19,0",,12,3,"13,3%","4,1",,2,1,"28,1%","0,8",,26,8,"16,3%","8,4",,81,14,"8,7%","26,7",,0,0,"63,4%","0,0"
,,MUJER,280,8,"1,5%",,260,12,"2,4%","92,6",,67,8,"6,1%","23,9",,"52,4","7,2","0,1","18,7",,13,4,"16,7%","4,6",,2,2,"42,1%","0,8",,21,7,"18,1%","7,5",,61,12,"9,7%","21,9",,0,1,"71,2%","0,2"
GUAINÍA,TOTAL,TOTAL,24,1,"2,6%",,18,1,"3,7%","75,2",,6,1,"5,4%","25,6",,"6,2","0,9","0,1","25,4",,4,1,"7,5%","18,3",,1,0,"22,5%","2,1",,1,0,"17,2%","3,7",,3,1,"14,3%","12,3",,0,0,"30,3%","1,2"
,,HOMBRE,13,1,"2,8%",,9,1,"4,0%","71,2",,4,0,"5,7%","28,2",,"3,5","0,6","0,1","26,8",,3,0,"8,4%","20,8",,0,0,"22,9%","2,2",,1,0,"17,5%","3,8",,1,0,"14,6%","11,1",,0,0,"33,4%","1,8"
,,MUJER,11,1,"3,0%",,9,1,"3,9%","80,0",,3,0,"6,7%","22,5",,"2,6","0,4","0,1","23,7",,2,0,"8,1%","15,2",,0,0,"26,4%","2,0",,0,0,"21,2%","3,6",,2,0,"15,0%","13,7",,0,0,"58,4%","0,6"
,CABECERA,TOTAL,15,1,"2,5%",,14,1,"3,2%","93,8",,6,1,"5,6%","38,1",,"2,7","0,4","0,1","17,8",,0,0,"25,7%","2,6",,0,0,"35,9%","0,8",,0,0,"26,7%","2,5",,2,1,"17,3%","15,7",,0,0,"71,1%","0,1"
,,HOMBRE,8,0,"2,5%",,7,0,"3,2%","92,7",,3,0,"5,8%","44,3",,"1,3","0,2","0,1","17,5",,0,0,"28,9%","3,1",,0,0,"39,1%","1,0",,0,0,"25,3%","2,8",,1,0,"18,2%","14,2",,0,0,"100,0%","0,1"
,,MUJER,7,0,"3,1%",,7,1,"3,7%","95,0",,2,0,"6,9%","31,9",,"1,3","0,2","0,1","18,1",,0,0,"28,2%","2,1",,0,0,"42,6%","0,6",,0,0,"34,4%","2,3",,1,0,"17,3%","17,1",,0,0,"98,6%","0,1"
